# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	726
#@/user_id	14dcda44-4cf5-46d6-81f2-e31514a0ac9f
a 	啊	c=9 d=6.46675 t=726
wei zhi 	位置	c=2 d=1.77833 t=726
wen jian 	文件	c=7 d=6.09908 t=726
wen ti 	问题	c=1 d=1 t=726
wen zhang 	纹章	c=2 d=1.97521 t=726
wo 	我	c=16 d=9.14279 t=726
wo cai 	我才	c=0 d=0.0798516 t=726
wo cai dao 	我才到	c=1 d=0.802519 t=726
wo ye shi 	我也是	c=1 d=0.941765 t=726
wu fa 	无法	c=1 d=0.891366 t=726
wu qi 	武器	c=2 d=1.74334 t=726
wu song 	雾凇	c=3 d=2.54813 t=726
wu song pin yin 	雾凇拼音	c=1 d=0.88692 t=726
wu yu 	无语	c=1 d=0.995012 t=726
xi de 	习德	c=-1 d=0.995012 t=726
xi de 	席德	c=1 d=1 t=726
xi wang 	希望	c=2 d=1.89513 t=726
xi wang di san mu 	希望第三幕	c=1 d=0.985112 t=726
xia 	下	c=2 d=1.80384 t=726
xian 	先	c=1 d=0.873716 t=726
xian jing 	陷阱	c=1 d=0.985112 t=726
xiang dao 	想到	c=1 d=0.995012 t=726
xiao guai 	小怪	c=1 d=0.97531 t=726
xiao shi 	小时	c=3 d=2.2201 t=726
xie 	写	c=1 d=0.774916 t=726
xing dao 	行到	c=0 d=0.0980199 t=726
xuan lv 	旋律	c=2 d=1.92218 t=726
xuan zhong 	选中	c=1 d=1.06132 t=726
xuan zhong de 	选中的	c=1 d=0.847894 t=726
yao shi 	钥匙	c=1 d=1 t=726
ye 	也	c=1 d=0.873716 t=726
ye bu hui 	也不会	c=1 d=0.960789 t=726
ye you 	也有	c=1 d=0.980199 t=726
yi ci 	一次	c=2 d=1.94624 t=726
yi dai 	一代	c=4 d=2.43711 t=726
yi ge 	一个	c=0 d=0.0970446 t=726
yi hang 	一行	c=1 d=0.909373 t=726
yi shi 	仪式	c=1 d=1 t=726
yi si zai 	疑似在	c=1 d=0.995012 t=726
yi yang 	一样	c=1 d=0.822835 t=726
yi zi 	椅子	c=2 d=1.76498 t=726
yin cang 	隐藏	c=1 d=0.895834 t=726
yin he 	银河	c=0 d=0.0951229 t=726
yin jian 	阴间	c=2 d=1.72979 t=726
yin wei 	因为	c=1 d=0.856415 t=726
ying 	硬	c=0 d=0.099005 t=726
ying dang 	应当	c=1 d=0.97531 t=726
ying gai 	应该	c=1 d=0.980199 t=726
ying guo ke 	硬果壳	c=2 d=1.99501 t=726
ying wen 	英文	c=1 d=1 t=726
yong 	用	c=0 d=0.0960789 t=726
you 	有	c=3 d=2.06499 t=726
you 	油	c=1 d=0.694197 t=726
you dian duo 	有点多	c=1 d=0.927743 t=726
you xi 	游戏	c=2 d=1.87564 t=726
yu 	与	c=0 d=0.0995012 t=726
yu gou 	预购	c=1 d=0.895834 t=726
yu qi 	预期	c=1 d=0.904837 t=726
yue 	越	c=0 d=0.0831104 t=726
yue er 	悦耳	c=0 d=0.0995012 t=726
yue hou mian yue jian dan 	越后面越简单	c=1 d=0.83527 t=726
yue jian dan 	越简单	c=0 d=0.0831104 t=726
yun 	云	c=2 d=1.90771 t=726
zai 	在	c=2 d=1.76555 t=726
zai ru shou 	再入手	c=1 d=0.909373 t=726
zao 	早	c=0 d=0.097531 t=726
zao bu zhi dao 	早不知道	c=1 d=0.980199 t=726
zen me 	怎么	c=2 d=1.92712 t=726
zen me qu 	怎么去	c=1 d=0.980199 t=726
zha le 	炸了	c=2 d=1.86562 t=726
zhan 	战	c=1 d=0.99005 t=726
zhao 	找	c=1 d=0.965605 t=726
zhe 	者	c=1 d=0.995012 t=726
zhe 	这	c=1 d=0.909373 t=726
zhe me duo 	这么多	c=1 d=0.895834 t=726
zhe me jiu 	这么久	c=1 d=0.701173 t=726
zhe mo 	折磨	c=2 d=1.88839 t=726
zhe yang 	这样	c=2 d=1.56162 t=726
zhe zuo 	这作	c=1 d=0.822835 t=726
zhen de 	真的	c=1 d=0.895834 t=726
zhen hao 	真好	c=1 d=0.970446 t=726
zhen sha bi 	真傻逼	c=1 d=0.965605 t=726
zhen xiu 	珍馐	c=1 d=0.985112 t=726
zheng ze 	正则	c=1 d=0.960789 t=726
zhi ding 	指定	c=2 d=1.7311 t=726
zhi fu 	之父	c=1 d=1 t=726
zhi fu 	支付	c=1 d=0.980199 t=726
zhi hou 	之后	c=2 d=1.44099 t=726
zhi hui jia 	指挥家	c=2 d=1.90305 t=726
zhi hun 	之魂	c=1 d=1 t=726
zhi jie 	直接	c=2 d=1.77526 t=726
zhi jie ba 	直接把	c=1 d=0.831104 t=726
zhi ling 	指令	c=2 d=1.79203 t=726
zhi shuo 	直说	c=1 d=0.980199 t=726
zhi xing 	执行	c=3 d=2.68034 t=726
zhong 	中	c=2 d=1.80642 t=726
zhong ji 	终迹	c=1 d=1 t=726
zhu xing 	助行	c=1 d=0.995012 t=726
zi ding yi 	自定义	c=3 d=2.64721 t=726
zi dong 	自动	c=1 d=0.970446 t=726
zou 	走	c=1 d=0.99005 t=726
zui di xia 	最底下	c=1 d=0.960789 t=726
zui hou 	最后	c=3 d=2.76764 t=726
zui shang mian 	最上面	c=1 d=0.985112 t=726
zui tu 	罪途	c=1 d=0.99005 t=726
zuo 	作	c=0 d=0.0729789 t=726
zuo 	左	c=1 d=0.995012 t=726
zuo tian 	昨天	c=1 d=0.923116 t=726
